estado;data;obitos
Mato Grosso;2015/07/01;1467
Mato Grosso do Sul;2015/07/01;737
Minas Gerais;2015/07/01;11204
Paraná;2015/07/01;7046
Paraíba;2015/07/01;1788
Pará;2015/07/01;362
Pernambuco;2015/07/01;4829
Piauí;2015/07/01;221
Rio Grande do Norte;2015/07/01;365
Rio Grande do Sul;2015/07/01;7307
Rio de Janeiro;2015/07/01;3574
Rondônia;2015/07/01;432
Roraima;2015/07/01;70
Santa Catarina;2015/07/01;3095
Sergipe;2015/07/01;1038
São Paulo;2015/07/01;27284
Tocantins;2015/07/01;274
Acre;2015/08/01;212
Alagoas;2015/08/01;571
Amapá;2015/08/01;186
Amazonas;2015/08/01;169
Bahia;2015/08/01;3501
Ceará;2015/08/01;746
Distrito Federal;2015/08/01;1162
Espírito Santo;2015/08/01;1962
Goiás;2015/08/01;2100
Maranhão;2015/08/01;214
Mato Grosso;2015/08/01;1278
Mato Grosso do Sul;2015/08/01;715
Minas Gerais;2015/08/01;10197
Paraná;2015/08/01;6547
Paraíba;2015/08/01;1609
Pará;2015/08/01;358
Pernambuco;2015/08/01;4555
Piauí;2015/08/01;218
Rio Grande do Norte;2015/08/01;350
Rio Grande do Sul;2015/08/01;6647
Rio de Janeiro;2015/08/01;3363
Rondônia;2015/08/01;464
Roraima;2015/08/01;80
Santa Catarina;2015/08/01;2658
Sergipe;2015/08/01;906
São Paulo;2015/08/01;23446
Tocantins;2015/08/01;275
Acre;2015/09/01;216
Alagoas;2015/09/01;856
Amapá;2015/09/01;217
Amazonas;2015/09/01;184
Bahia;2015/09/01;4508
Ceará;2015/09/01;847
Distrito Federal;2015/09/01;1094
Espírito Santo;2015/09/01;1868
Goiás;2015/09/01;2107
Maranhão;2015/09/01;201
Mato Grosso;2015/09/01;1357
Mato Grosso do Sul;2015/09/01;699
Minas Gerais;2015/09/01;10422
Paraná;2015/09/01;6538
Paraíba;2015/09/01;1512
Pará;2015/09/01;384
Pernambuco;2015/09/01;4380
Piauí;2015/09/01;238
Rio Grande do Norte;2015/09/01;318
Rio Grande do Sul;2015/09/01;5323
Rio de Janeiro;2015/09/01;3668
Rondônia;2015/09/01;536
Roraima;2015/09/01;67
Santa Catarina;2015/09/01;2595
Sergipe;2015/09/01;880
São Paulo;2015/09/01;24641
Tocantins;2015/09/01;305
Acre;2015/10/01;228
Alagoas;2015/10/01;835
Amapá;2015/10/01;180
Amazonas;2015/10/01;147
Bahia;2015/10/01;4758
Ceará;2015/10/01;777
Distrito Federal;2015/10/01;1190
Espírito Santo;2015/10/01;1833
Goiás;2015/10/01;2329
Maranhão;2015/10/01;242
Mato Grosso;2015/10/01;1370
Mato Grosso do Sul;2015/10/01;586
Minas Gerais;2015/10/01;10310
Paraná;2015/10/01;5882
Paraíba;2015/10/01;1546
Pará;2015/10/01;347
Pernambuco;2015/10/01;3663
Piauí;2015/10/01;243
Rio Grande do Norte;2015/10/01;329
Rio Grande do Sul;2015/10/01;5279
Rio de Janeiro;2015/10/01;3806
Rondônia;2015/10/01;537
Roraima;2015/10/01;73
Santa Catarina;2015/10/01;2683
Sergipe;2015/10/01;861
São Paulo;2015/10/01;23326
Tocantins;2015/10/01;315
Acre;2015/11/01;168
Alagoas;2015/11/01;947
Amapá;2015/11/01;172
Amazonas;2015/11/01;133
Bahia;2015/11/01;4772
Ceará;2015/11/01;786
Distrito Federal;2015/11/01;941
Espírito Santo;2015/11/01;1819
Goiás;2015/11/01;2113
Maranhão;2015/11/01;251
Mato Grosso;2015/11/01;1324
Mato Grosso do Sul;2015/11/01;786
Minas Gerais;2015/11/01;9685
Paraná;2015/11/01;5633
Paraíba;2015/11/01;1681
Pará;2015/11/01;338
Pernambuco;2015/11/01;3167
Piauí;2015/11/01;342
Rio Grande do Norte;2015/11/01;338
Rio Grande do Sul;2015/11/01;5069
Rio de Janeiro;2015/11/01;3911
Rondônia;2015/11/01;460
Roraima;2015/11/01;69
Santa Catarina;2015/11/01;2579
Sergipe;2015/11/01;963
São Paulo;2015/11/01;21710
Tocantins;2015/11/01;296
Acre;2015/12/01;152
Alagoas;2015/12/01;964
Amapá;2015/12/01;200
Amazonas;2015/12/01;502
Bahia;2015/12/01;4232
Ceará;2015/12/01;945
Distrito Federal;2015/12/01;1003
Espírito Santo;2015/12/01;1819
Goiás;2015/12/01;2072
Maranhão;2015/12/01;273
Mato Grosso;2015/12/01;1352
Mato Grosso do Sul;2015/12/01;923
Minas Gerais;2015/12/01;10596
Paraná;2015/12/01;5891
Paraíba;2015/12/01;1671
Pará;2015/12/01;720
Pernambuco;2015/12/01;3588
Piauí;2015/12/01;240
Rio Grande do Norte;2015/12/01;547
Rio Grande do Sul;2015/12/01;5177
Rio de Janeiro;2015/12/01;4761
Rondônia;2015/12/01;582
Roraima;2015/12/01;55
Santa Catarina;2015/12/01;2295
Sergipe;2015/12/01;1046
São Paulo;2015/12/01;23256
Tocantins;2015/12/01;333
Acre;2016/01/01;178
Alagoas;2016/01/01;1017
Amapá;2016/01/01;182
Amazonas;2016/01/01;488
Bahia;2016/01/01;4875
Ceará;2016/01/01;1320
Distrito Federal;2016/01/01;1183
Espírito Santo;2016/01/01;1794
Goiás;2016/01/01;2152
Maranhão;2016/01/01;416
Mato Grosso;2016/01/01;1388
Mato Grosso do Sul;2016/01/01;1134
Minas Gerais;2016/01/01;10239
Paraná;2016/01/01;5878
Paraíba;2016/01/01;1850
Pará;2016/01/01;1147
Pernambuco;2016/01/01;4711
Piauí;2016/01/01;621
Rio Grande do Norte;2016/01/01;541
Rio Grande do Sul;2016/01/01;5511
Rio de Janeiro;2016/01/01;5267
Rondônia;2016/01/01;648
Roraima;2016/01/01;79
Santa Catarina;2016/01/01;2765
Sergipe;2016/01/01;1024
São Paulo;2016/01/01;23266
Tocantins;2016/01/01;329
Acre;2016/02/01;191
Alagoas;2016/02/01;1045
Amapá;2016/02/01;186
Amazonas;2016/02/01;169
Bahia;2016/02/01;4521
Ceará;2016/02/01;1483
Distrito Federal;2016/02/01;1137
Espírito Santo;2016/02/01;1882
Goiás;2016/02/01;2030
Maranhão;2016/02/01;400
Mato Grosso;2016/02/01;1148
Mato Grosso do Sul;2016/02/01;1217
Minas Gerais;2016/02/01;10909
Paraná;2016/02/01;5697
Paraíba;2016/02/01;1984
Pará;2016/02/01;1015
Pernambuco;2016/02/01;5394
Piauí;2016/02/01;595
Rio Grande do Norte;2016/02/01;702
Rio Grande do Sul;2016/02/01;4871
Rio de Janeiro;2016/02/01;4863
Rondônia;2016/02/01;643
Roraima;2016/02/01;114
Santa Catarina;2016/02/01;2601
Sergipe;2016/02/01;1047
São Paulo;2016/02/01;22816
Tocantins;2016/02/01;358
Acre;2016/03/01;189
Alagoas;2016/03/01;970
Amapá;2016/03/01;197
Amazonas;2016/03/01;200
Bahia;2016/03/01;5460
Ceará;2016/03/01;2581
Distrito Federal;2016/03/01;1237
Espírito Santo;2016/03/01;1986
Goiás;2016/03/01;2358
Maranhão;2016/03/01;512
Mato Grosso;2016/03/01;1175
Mato Grosso do Sul;2016/03/01;1250
Minas Gerais;2016/03/01;11291
Paraná;2016/03/01;6247
Paraíba;2016/03/01;2453
Pará;2016/03/01;1201
Pernambuco;2016/03/01;6406
Piauí;2016/03/01;553
Rio Grande do Norte;2016/03/01;919
Rio Grande do Sul;2016/03/01;4671
Rio de Janeiro;2016/03/01;5325
Rondônia;2016/03/01;672
Roraima;2016/03/01;150
Santa Catarina;2016/03/01;2800
Sergipe;2016/03/01;1202
São Paulo;2016/03/01;25371
Tocantins;2016/03/01;365
Acre;2016/04/01;264
Alagoas;2016/04/01;1238
Amapá;2016/04/01;186
Amazonas;2016/04/01;458
