estado;data;obitos
Piauí;2017/08/01;524
Rio Grande do Norte;2017/08/01;905
Rio Grande do Sul;2017/08/01;5785
Rio de Janeiro;2017/08/01;6085
Rondônia;2017/08/01;695
Roraima;2017/08/01;173
Santa Catarina;2017/08/01;3363
Sergipe;2017/08/01;1240
São Paulo;2017/08/01;27759
Tocantins;2017/08/01;447
Acre;2017/09/01;284
Alagoas;2017/09/01;1017
Amapá;2017/09/01;212
Amazonas;2017/09/01;572
Bahia;2017/09/01;5147
Ceará;2017/09/01;3027
Distrito Federal;2017/09/01;1162
Espírito Santo;2017/09/01;2046
Goiás;2017/09/01;2544
Maranhão;2017/09/01;561
Mato Grosso;2017/09/01;1416
Mato Grosso do Sul;2017/09/01;1261
Minas Gerais;2017/09/01;11391
Paraná;2017/09/01;5971
Paraíba;2017/09/01;1853
Pará;2017/09/01;905
Pernambuco;2017/09/01;4806
Piauí;2017/09/01;523
Rio Grande do Norte;2017/09/01;1001
Rio Grande do Sul;2017/09/01;5049
Rio de Janeiro;2017/09/01;6053
Rondônia;2017/09/01;705
Roraima;2017/09/01;146
Santa Catarina;2017/09/01;2964
Sergipe;2017/09/01;1177
São Paulo;2017/09/01;25090
Tocantins;2017/09/01;448
Acre;2017/10/01;278
Alagoas;2017/10/01;1097
Amapá;2017/10/01;265
Amazonas;2017/10/01;642
Bahia;2017/10/01;5365
Ceará;2017/10/01;3260
Distrito Federal;2017/10/01;1300
Espírito Santo;2017/10/01;2145
Goiás;2017/10/01;2982
Maranhão;2017/10/01;632
Mato Grosso;2017/10/01;1493
Mato Grosso do Sul;2017/10/01;1239
Minas Gerais;2017/10/01;11942
Paraná;2017/10/01;6101
Paraíba;2017/10/01;2025
Pará;2017/10/01;809
Pernambuco;2017/10/01;5027
Piauí;2017/10/01;607
Rio Grande do Norte;2017/10/01;1283
Rio Grande do Sul;2017/10/01;5394
Rio de Janeiro;2017/10/01;6152
Rondônia;2017/10/01;690
Roraima;2017/10/01;147
Santa Catarina;2017/10/01;3076
Sergipe;2017/10/01;1138
São Paulo;2017/10/01;25670
Tocantins;2017/10/01;499
Acre;2017/11/01;327
Alagoas;2017/11/01;1097
Amapá;2017/11/01;227
Amazonas;2017/11/01;642
Bahia;2017/11/01;5075
Ceará;2017/11/01;3194
Distrito Federal;2017/11/01;1086
Espírito Santo;2017/11/01;1956
Goiás;2017/11/01;2479
Maranhão;2017/11/01;758
Mato Grosso;2017/11/01;1295
Mato Grosso do Sul;2017/11/01;1117
Minas Gerais;2017/11/01;10671
Paraná;2017/11/01;5875
Paraíba;2017/11/01;1953
Pará;2017/11/01;1027
Pernambuco;2017/11/01;4748
Piauí;2017/11/01;621
Rio Grande do Norte;2017/11/01;1037
Rio Grande do Sul;2017/11/01;6318
Rio de Janeiro;2017/11/01;6383
Rondônia;2017/11/01;684
Roraima;2017/11/01;98
Santa Catarina;2017/11/01;2942
Sergipe;2017/11/01;1055
São Paulo;2017/11/01;24109
Tocantins;2017/11/01;388
Acre;2017/12/01;356
Alagoas;2017/12/01;1017
Amapá;2017/12/01;169
Amazonas;2017/12/01;712
Bahia;2017/12/01;4851
Ceará;2017/12/01;3065
Distrito Federal;2017/12/01;1195
Espírito Santo;2017/12/01;1888
Goiás;2017/12/01;2491
Maranhão;2017/12/01;704
Mato Grosso;2017/12/01;1345
Mato Grosso do Sul;2017/12/01;1193
Minas Gerais;2017/12/01;10768
Paraná;2017/12/01;5670
Paraíba;2017/12/01;1891
Pará;2017/12/01;1005
Pernambuco;2017/12/01;4710
Piauí;2017/12/01;544
Rio Grande do Norte;2017/12/01;1185
Rio Grande do Sul;2017/12/01;6432
Rio de Janeiro;2017/12/01;11601
Rondônia;2017/12/01;428
Roraima;2017/12/01;84
Santa Catarina;2017/12/01;3023
Sergipe;2017/12/01;1026
São Paulo;2017/12/01;23309
Tocantins;2017/12/01;424
Acre;2018/01/01;337
Alagoas;2018/01/01;1099
Amapá;2018/01/01;257
Amazonas;2018/01/01;683
Bahia;2018/01/01;5863
Ceará;2018/01/01;3439
Distrito Federal;2018/01/01;1144
Espírito Santo;2018/01/01;2033
Goiás;2018/01/01;2914
Maranhão;2018/01/01;1115
Mato Grosso;2018/01/01;1512
Mato Grosso do Sul;2018/01/01;1229
Minas Gerais;2018/01/01;11844
Paraná;2018/01/01;6111
Paraíba;2018/01/01;2157
Pará;2018/01/01;1271
Pernambuco;2018/01/01;5173
Piauí;2018/01/01;945
Rio Grande do Norte;2018/01/01;1327
Rio Grande do Sul;2018/01/01;6528
Rio de Janeiro;2018/01/01;12166
Rondônia;2018/01/01;737
Roraima;2018/01/01;171
Santa Catarina;2018/01/01;3288
Sergipe;2018/01/01;1084
São Paulo;2018/01/01;25128
Tocantins;2018/01/01;542
Acre;2018/02/01;255
Alagoas;2018/02/01;995
Amapá;2018/02/01;177
Amazonas;2018/02/01;787
Bahia;2018/02/01;4880
Ceará;2018/02/01;2983
Distrito Federal;2018/02/01;1110
Espírito Santo;2018/02/01;1698
Goiás;2018/02/01;2471
Maranhão;2018/02/01;924
Mato Grosso;2018/02/01;1324
Mato Grosso do Sul;2018/02/01;1079
Minas Gerais;2018/02/01;9886
Paraná;2018/02/01;5309
Paraíba;2018/02/01;1892
Pará;2018/02/01;909
Pernambuco;2018/02/01;4514
Piauí;2018/02/01;953
Rio Grande do Norte;2018/02/01;1057
Rio Grande do Sul;2018/02/01;5552
Rio de Janeiro;2018/02/01;10510
Rondônia;2018/02/01;566
Roraima;2018/02/01;147
Santa Catarina;2018/02/01;2847
Sergipe;2018/02/01;821
São Paulo;2018/02/01;21605
Tocantins;2018/02/01;433
Acre;2018/03/01;408
Alagoas;2018/03/01;1247
Amapá;2018/03/01;198
Amazonas;2018/03/01;741
Bahia;2018/03/01;5599
Ceará;2018/03/01;3483
Distrito Federal;2018/03/01;1337
Espírito Santo;2018/03/01;1951
Goiás;2018/03/01;2789
Maranhão;2018/03/01;1144
Mato Grosso;2018/03/01;1500
Mato Grosso do Sul;2018/03/01;1312
Minas Gerais;2018/03/01;10625
Paraná;2018/03/01;6054
Paraíba;2018/03/01;2009
Pará;2018/03/01;1023
Pernambuco;2018/03/01;4674
Piauí;2018/03/01;842
Rio Grande do Norte;2018/03/01;1291
Rio Grande do Sul;2018/03/01;6280
Rio de Janeiro;2018/03/01;12247
Rondônia;2018/03/01;707
Roraima;2018/03/01;181
Santa Catarina;2018/03/01;2921
Sergipe;2018/03/01;1008
São Paulo;2018/03/01;23693
Tocantins;2018/03/01;498
Acre;2018/04/01;376
Alagoas;2018/04/01;1336
Amapá;2018/04/01;236
Amazonas;2018/04/01;744
Bahia;2018/04/01;6127
Ceará;2018/04/01;3812
Distrito Federal;2018/04/01;1195
Espírito Santo;2018/04/01;1954
Goiás;2018/04/01;3064
Maranhão;2018/04/01;1425
Mato Grosso;2018/04/01;1484
Mato Grosso do Sul;2018/04/01;1327
Minas Gerais;2018/04/01;10691
Paraná;2018/04/01;5953
Paraíba;2018/04/01;2216
Pará;2018/04/01;1368
Pernambuco;2018/04/01;5286
Piauí;2018/04/01;977
Rio Grande do Norte;2018/04/01;1233
Rio Grande do Sul;2018/04/01;6494
Rio de Janeiro;2018/04/01;11756
Rondônia;2018/04/01;661
Roraima;2018/04/01;175
Santa Catarina;2018/04/01;3306
Sergipe;2018/04/01;1121
São Paulo;2018/04/01;24046
Tocantins;2018/04/01;520
Acre;2018/05/01;314
Alagoas;2018/05/01;1434
Amapá;2018/05/01;233
Amazonas;2018/05/01;387
Bahia;2018/05/01;6326
Ceará;2018/05/01;3911
Distrito Federal;2018/05/01;1225
Espírito Santo;2018/05/01;2178
Goiás;2018/05/01;3022
Maranhão;2018/05/01;1468
Mato Grosso;2018/05/01;1534
Mato Grosso do Sul;2018/05/01;1388
Minas Gerais;2018/05/01;11632
Paraná;2018/05/01;6413
Paraíba;2018/05/01;2421
Pará;2018/05/01;1452
Pernambuco;2018/05/01;5581
Piauí;2018/05/01;1012
Rio Grande do Norte;2018/05/01;1360
Rio Grande do Sul;2018/05/01;6627
Rio de Janeiro;2018/05/01;12542
Rondônia;2018/05/01;494
Roraima;2018/05/01;222
Santa Catarina;2018/05/01;3323
Sergipe;2018/05/01;1133
São Paulo;2018/05/01;26394
Tocantins;2018/05/01;577
Acre;2018/06/01;341
Alagoas;2018/06/01;1346
Amapá;2018/06/01;275
Amazonas;2018/06/01;742
Bahia;2018/06/01;5808
Ceará;2018/06/01;3494
Distrito Federal;2018/06/01;1275
Espírito Santo;2018/06/01;2164
Goiás;2018/06/01;2722
Maranhão;2018/06/01;1246
Mato Grosso;2018/06/01;1429
Mato Grosso do Sul;2018/06/01;1448
Minas Gerais;2018/06/01;11878
Paraná;2018/06/01;7086
Paraíba;2018/06/01;2364
Pará;2018/06/01;1481
Pernambuco;2018/06/01;5055
Piauí;2018/06/01;895
Rio Grande do Norte;2018/06/01;1398
Rio Grande do Sul;2018/06/01;7081
Rio de Janeiro;2018/06/01;12389
Rondônia;2018/06/01;652
Roraima;2018/06/01;227
Santa Catarina;2018/06/01;3812
Sergipe;2018/06/01;1172
São Paulo;2018/06/01;28222
Tocantins;2018/06/01;499
Acre;2018/07/01;396
Alagoas;2018/07/01;1552
Amapá;2018/07/01;207
Amazonas;2018/07/01;827
Bahia;2018/07/01;6546
Ceará;2018/07/01;3441
Distrito Federal;2018/07/01;1215
Espírito Santo;2018/07/01;2227
Goiás;2018/07/01;2850
Maranhão;2018/07/01;1238
Mato Grosso;2018/07/01;1425
Mato Grosso do Sul;2018/07/01;1512
Minas Gerais;2018/07/01;12573
Paraná;2018/07/01;7549
Paraíba;2018/07/01;2362
Pará;2018/07/01;1587
Pernambuco;2018/07/01;5387
Piauí;2018/07/01;863
Rio Grande do Norte;2018/07/01;1206
Rio Grande do Sul;2018/07/01;8901
Rio de Janeiro;2018/07/01;12589
Rondônia;2018/07/01;720
Roraima;2018/07/01;206
Santa Catarina;2018/07/01;4032
Sergipe;2018/07/01;1116
São Paulo;2018/07/01;28557
Tocantins;2018/07/01;532
Acre;2018/08/01;308
Alagoas;2018/08/01;1488
Amapá;2018/08/01;210
Amazonas;2018/08/01;688
Bahia;2018/08/01;6075
Ceará;2018/08/01;3437
Distrito Federal;2018/08/01;1278
Espírito Santo;2018/08/01;1987
Goiás;2018/08/01;2809
Maranhão;2018/08/01;1305
Mato Grosso;2018/08/01;1249
Mato Grosso do Sul;2018/08/01;1461
Minas Gerais;2018/08/01;11533
Paraná;2018/08/01;6954
Paraíba;2018/08/01;2233
Pará;2018/08/01;1716
Pernambuco;2018/08/01;5016
Piauí;2018/08/01;888
Rio Grande do Norte;2018/08/01;1347
Rio Grande do Sul;2018/08/01;8731
Rio de Janeiro;2018/08/01;12666
Rondônia;2018/08/01;694
Roraima;2018/08/01;224
Santa Catarina;2018/08/01;3827
Sergipe;2018/08/01;1105
São Paulo;2018/08/01;27869
Tocantins;2018/08/01;483
Acre;2018/09/01;317
Alagoas;2018/09/01;1316
Amapá;2018/09/01;213
Amazonas;2018/09/01;401
Bahia;2018/09/01;6064
Ceará;2018/09/01;3213
Distrito Federal;2018/09/01;1108
Espírito Santo;2018/09/01;1926
Goiás;2018/09/01;2572
Maranhão;2018/09/01;1291
Mato Grosso;2018/09/01;1263
Mato Grosso do Sul;2018/09/01;1280
Minas Gerais;2018/09/01;10370
Paraná;2018/09/01;5679
Paraíba;2018/09/01;2029
Pará;2018/09/01;1560
Pernambuco;2018/09/01;4628
Piauí;2018/09/01;878
Rio Grande do Norte;2018/09/01;1247
Rio Grande do Sul;2018/09/01;6714
Rio de Janeiro;2018/09/01;11264
Rondônia;2018/09/01;723
Roraima;2018/09/01;247
Santa Catarina;2018/09/01;3460
Sergipe;2018/09/01;932
São Paulo;2018/09/01;23961
Tocantins;2018/09/01;467
Acre;2018/10/01;349
Alagoas;2018/10/01;1352
Amapá;2018/10/01;265
Amazonas;2018/10/01;537
Bahia;2018/10/01;6528
Ceará;2018/10/01;3561
Distrito Federal;2018/10/01;1199
Espírito Santo;2018/10/01;2024
Goiás;2018/10/01;2954
Maranhão;2018/10/01;1455
Mato Grosso;2018/10/01;1245
Mato Grosso do Sul;2018/10/01;1303
Minas Gerais;2018/10/01;11026
Paraná;2018/10/01;5975
Paraíba;2018/10/01;2313
Pará;2018/10/01;1458
Pernambuco;2018/10/01;5070
Piauí;2018/10/01;1118
Rio Grande do Norte;2018/10/01;1134
Rio Grande do Sul;2018/10/01;6996
Rio de Janeiro;2018/10/01;11595
Rondônia;2018/10/01;495
Roraima;2018/10/01;235
Santa Catarina;2018/10/01;3482
Sergipe;2018/10/01;1192
São Paulo;2018/10/01;25771
Tocantins;2018/10/01;543
Acre;2018/11/01;301
Alagoas;2018/11/01;1196
Amapá;2018/11/01;227
Amazonas;2018/11/01;662
Bahia;2018/11/01;5605
Ceará;2018/11/01;3362
Distrito Federal;2018/11/01;1163
Espírito Santo;2018/11/01;1898
Goiás;2018/11/01;2615
Maranhão;2018/11/01;1333
Mato Grosso;2018/11/01;1058
Mato Grosso do Sul;2018/11/01;1255
Minas Gerais;2018/11/01;9559
Paraná;2018/11/01;5753
Paraíba;2018/11/01;2005
Pará;2018/11/01;1753
Pernambuco;2018/11/01;4638
Piauí;2018/11/01;1024
Rio Grande do Norte;2018/11/01;1118
Rio Grande do Sul;2018/11/01;6538
Rio de Janeiro;2018/11/01;11095
Rondônia;2018/11/01;686
Roraima;2018/11/01;177
Santa Catarina;2018/11/01;3304
Sergipe;2018/11/01;1024
São Paulo;2018/11/01;24589
Tocantins;2018/11/01;467
Acre;2018/12/01;317
Alagoas;2018/12/01;1073
Amapá;2018/12/01;199
Amazonas;2018/12/01;942
Bahia;2018/12/01;5476
Ceará;2018/12/01;3102
Distrito Federal;2018/12/01;1215
Espírito Santo;2018/12/01;1932
Goiás;2018/12/01;2660
Maranhão;2018/12/01;1240
Mato Grosso;2018/12/01;1189
Mato Grosso do Sul;2018/12/01;1281
Minas Gerais;2018/12/01;9510
Paraná;2018/12/01;5672
Paraíba;2018/12/01;1859
Pará;2018/12/01;1709
Pernambuco;2018/12/01;4696
Piauí;2018/12/01;863
Rio Grande do Norte;2018/12/01;1213
Rio Grande do Sul;2018/12/01;6208
Rio de Janeiro;2018/12/01;11906
Rondônia;2018/12/01;701
Roraima;2018/12/01;152
Santa Catarina;2018/12/01;2990
Sergipe;2018/12/01;951
São Paulo;2018/12/01;23728
Tocantins;2018/12/01;461
Acre;2019/01/01;300
Alagoas;2019/01/01;1406
Amapá;2019/01/01;285
Amazonas;2019/01/01;1217
Bahia;2019/01/01;6938
Ceará;2019/01/01;3663
Distrito Federal;2019/01/01;1209
Espírito Santo;2019/01/01;2184
Goiás;2019/01/01;3000
Maranhão;2019/01/01;1953
Mato Grosso;2019/01/01;1142
Mato Grosso do Sul;2019/01/01;1389
Minas Gerais;2019/01/01;11540
Paraná;2019/01/01;6019
Paraíba;2019/01/01;2279
Pará;2019/01/01;2310
Pernambuco;2019/01/01;5144
Piauí;2019/01/01;1407
Rio Grande do Norte;2019/01/01;1526
Rio Grande do Sul;2019/01/01;7241
Rio de Janeiro;2019/01/01;12731
Rondônia;2019/01/01;757
Roraima;2019/01/01;186
Santa Catarina;2019/01/01;3620
Sergipe;2019/01/01;1074
São Paulo;2019/01/01;27865
Tocantins;2019/01/01;560
Acre;2019/02/01;300
Alagoas;2019/02/01;1238
Amapá;2019/02/01;220
Amazonas;2019/02/01;1180
Bahia;2019/02/01;6108
Ceará;2019/02/01;3157
Distrito Federal;2019/02/01;1069
Espírito Santo;2019/02/01;1790
Goiás;2019/02/01;2529
Maranhão;2019/02/01;1778
Mato Grosso;2019/02/01;1001
Mato Grosso do Sul;2019/02/01;1163
Minas Gerais;2019/02/01;9439
Paraná;2019/02/01;4960
Paraíba;2019/02/01;2010
Pará;2019/02/01;2108
Pernambuco;2019/02/01;4524
Piauí;2019/02/01;1113
Rio Grande do Norte;2019/02/01;1278
Rio Grande do Sul;2019/02/01;6255
Rio de Janeiro;2019/02/01;10964
Rondônia;2019/02/01;629
Roraima;2019/02/01;125
Santa Catarina;2019/02/01;3175
Sergipe;2019/02/01;968
São Paulo;2019/02/01;22893
Tocantins;2019/02/01;433
Acre;2019/03/01;330
Alagoas;2019/03/01;1353
Amapá;2019/03/01;252
Amazonas;2019/03/01;1256
Bahia;2019/03/01;6167
Ceará;2019/03/01;3539
Distrito Federal;2019/03/01;1190
Espírito Santo;2019/03/01;2024
Goiás;2019/03/01;2670
Maranhão;2019/03/01;1769
Mato Grosso;2019/03/01;1249
Mato Grosso do Sul;2019/03/01;1236
Minas Gerais;2019/03/01;10061
Paraná;2019/03/01;5471
Paraíba;2019/03/01;2154
Pará;2019/03/01;2262
Pernambuco;2019/03/01;4995
Piauí;2019/03/01;1216
Rio Grande do Norte;2019/03/01;1371
Rio Grande do Sul;2019/03/01;6515
Rio de Janeiro;2019/03/01;11463
Rondônia;2019/03/01;479
Roraima;2019/03/01;164
Santa Catarina;2019/03/01;3193
Sergipe;2019/03/01;1115
São Paulo;2019/03/01;23581
Tocantins;2019/03/01;427
Acre;2019/04/01;381
Alagoas;2019/04/01;1527
Amapá;2019/04/01;294
Amazonas;2019/04/01;1245
Bahia;2019/04/01;6305
Ceará;2019/04/01;4015
Distrito Federal;2019/04/01;1263
Espírito Santo;2019/04/01;2042
Goiás;2019/04/01;3019
Maranhão;2019/04/01;1922
Mato Grosso;2019/04/01;1299
Mato Grosso do Sul;2019/04/01;1345
Minas Gerais;2019/04/01;11073
Paraná;2019/04/01;5864
Paraíba;2019/04/01;2406
Pará;2019/04/01;2367
Pernambuco;2019/04/01;5294
Piauí;2019/04/01;1313
Rio Grande do Norte;2019/04/01;1577
Rio Grande do Sul;2019/04/01;6877
Rio de Janeiro;2019/04/01;12430
Rondônia;2019/04/01;780
Roraima;2019/04/01;194
Santa Catarina;2019/04/01;3347
Sergipe;2019/04/01;1120
São Paulo;2019/04/01;25476
Tocantins;2019/04/01;503
Acre;2019/05/01;363
Alagoas;2019/05/01;1684
Amapá;2019/05/01;250
Amazonas;2019/05/01;1249
Bahia;2019/05/01;6906
Ceará;2019/05/01;4037
Distrito Federal;2019/05/01;1300
Espírito Santo;2019/05/01;2187
Goiás;2019/05/01;2969
Maranhão;2019/05/01;2106
Mato Grosso;2019/05/01;1322
Mato Grosso do Sul;2019/05/01;1421
Minas Gerais;2019/05/01;11677
Paraná;2019/05/01;6264
Paraíba;2019/05/01;2497
Pará;2019/05/01;2614
Pernambuco;2019/05/01;5477
Piauí;2019/05/01;1492
Rio Grande do Norte;2019/05/01;1677
Rio Grande do Sul;2019/05/01;7348
Rio de Janeiro;2019/05/01;13594
Rondônia;2019/05/01;769
Roraima;2019/05/01;211
Santa Catarina;2019/05/01;3476
Sergipe;2019/05/01;1165
São Paulo;2019/05/01;27893
Tocantins;2019/05/01;548
Acre;2019/06/01;323
Alagoas;2019/06/01;1418
Amapá;2019/06/01;229
Amazonas;2019/06/01;1135
Bahia;2019/06/01;6164
Ceará;2019/06/01;3364
Distrito Federal;2019/06/01;1293
Espírito Santo;2019/06/01;2124
Goiás;2019/06/01;2846
Maranhão;2019/06/01;1806
Mato Grosso;2019/06/01;1241
Mato Grosso do Sul;2019/06/01;1457
Minas Gerais;2019/06/01;10802
Paraná;2019/06/01;6071
Paraíba;2019/06/01;2173
Pará;2019/06/01;1805
Pernambuco;2019/06/01;5063
Piauí;2019/06/01;1224
Rio Grande do Norte;2019/06/01;1311
Rio Grande do Sul;2019/06/01;7486
Rio de Janeiro;2019/06/01;12840
Rondônia;2019/06/01;679
Roraima;2019/06/01;187
Santa Catarina;2019/06/01;3399
Sergipe;2019/06/01;1039
São Paulo;2019/06/01;26810
Tocantins;2019/06/01;468
Acre;2019/07/01;318
Alagoas;2019/07/01;1658
Amapá;2019/07/01;276
Amazonas;2019/07/01;1304
Bahia;2019/07/01;7693
Ceará;2019/07/01;3693
Distrito Federal;2019/07/01;1326
Espírito Santo;2019/07/01;2354
Goiás;2019/07/01;3267
Maranhão;2019/07/01;2046
Mato Grosso;2019/07/01;1362
Mato Grosso do Sul;2019/07/01;1656
Minas Gerais;2019/07/01;12478
Paraná;2019/07/01;7008
Paraíba;2019/07/01;2595
Pará;2019/07/01;2345
Pernambuco;2019/07/01;5774
Piauí;2019/07/01;1486
Rio Grande do Norte;2019/07/01;1722
Rio Grande do Sul;2019/07/01;9521
Rio de Janeiro;2019/07/01;13348
Rondônia;2019/07/01;733
Roraima;2019/07/01;250
Santa Catarina;2019/07/01;4265
Sergipe;2019/07/01;1235
São Paulo;2019/07/01;31328
Tocantins;2019/07/01;557
Acre;2019/08/01;339
Alagoas;2019/08/01;1642
Amapá;2019/08/01;240
Amazonas;2019/08/01;1261
Bahia;2019/08/01;6928
Ceará;2019/08/01;3136
Distrito Federal;2019/08/01;1309
Espírito Santo;2019/08/01;2204
Goiás;2019/08/01;2819
Maranhão;2019/08/01;1874
Mato Grosso;2019/08/01;1292
Mato Grosso do Sul;2019/08/01;1528
Minas Gerais;2019/08/01;10990
Paraná;2019/08/01;6342
Paraíba;2019/08/01;2301
Pará;2019/08/01;2266
Pernambuco;2019/08/01;5283
Piauí;2019/08/01;1110
Rio Grande do Norte;2019/08/01;1471
Rio Grande do Sul;2019/08/01;8902
Rio de Janeiro;2019/08/01;12608
Rondônia;2019/08/01;477
Roraima;2019/08/01;221
Santa Catarina;2019/08/01;3798
Sergipe;2019/08/01;1107
São Paulo;2019/08/01;27541
Tocantins;2019/08/01;530
Acre;2019/09/01;341
Alagoas;2019/09/01;1499
Amapá;2019/09/01;226
Amazonas;2019/09/01;1184
Bahia;2019/09/01;6688
Ceará;2019/09/01;3332
Distrito Federal;2019/09/01;1309
Espírito Santo;2019/09/01;2123
Goiás;2019/09/01;3017
Maranhão;2019/09/01;2005
Mato Grosso;2019/09/01;1463
Mato Grosso do Sul;2019/09/01;1498
Minas Gerais;2019/09/01;10770
Paraná;2019/09/01;6272
Paraíba;2019/09/01;2223
Pará;2019/09/01;2258
Pernambuco;2019/09/01;5201
Piauí;2019/09/01;1181
Rio Grande do Norte;2019/09/01;1446
Rio Grande do Sul;2019/09/01;8045
Rio de Janeiro;2019/09/01;12108
Rondônia;2019/09/01;722
Roraima;2019/09/01;230
Santa Catarina;2019/09/01;3755
Sergipe;2019/09/01;1011
São Paulo;2019/09/01;25909
Tocantins;2019/09/01;475
Acre;2019/10/01;314
Alagoas;2019/10/01;1512
Amapá;2019/10/01;248
Amazonas;2019/10/01;1221
Bahia;2019/10/01;6886
Ceará;2019/10/01;3480
Distrito Federal;2019/10/01;1306
Espírito Santo;2019/10/01;2036
Goiás;2019/10/01;3082
Maranhão;2019/10/01;2023
Mato Grosso;2019/10/01;1370
Mato Grosso do Sul;2019/10/01;1407
Minas Gerais;2019/10/01;10731
Paraná;2019/10/01;6001
Paraíba;2019/10/01;2229
Pará;2019/10/01;2222
Pernambuco;2019/10/01;5232
Piauí;2019/10/01;1278
Rio Grande do Norte;2019/10/01;1470
Rio Grande do Sul;2019/10/01;7871
Rio de Janeiro;2019/10/01;12042
Rondônia;2019/10/01;650
Roraima;2019/10/01;193
Santa Catarina;2019/10/01;3747
Sergipe;2019/10/01;1105
São Paulo;2019/10/01;26449
Tocantins;2019/10/01;525
Acre;2019/11/01;336
Alagoas;2019/11/01;1455
Amapá;2019/11/01;258
Amazonas;2019/11/01;1101
Bahia;2019/11/01;6105
Ceará;2019/11/01;3371
Distrito Federal;2019/11/01;1173
Espírito Santo;2019/11/01;1939
Goiás;2019/11/01;2771
Maranhão;2019/11/01;1639
Mato Grosso;2019/11/01;1192
Mato Grosso do Sul;2019/11/01;1285
Minas Gerais;2019/11/01;9628
Paraná;2019/11/01;5654
Paraíba;2019/11/01;2118
Pará;2019/11/01;2098
Pernambuco;2019/11/01;4949
Piauí;2019/11/01;1216
Rio Grande do Norte;2019/11/01;1317
Rio Grande do Sul;2019/11/01;6989
Rio de Janeiro;2019/11/01;11391
Rondônia;2019/11/01;648
Roraima;2019/11/01;200
Santa Catarina;2019/11/01;3292
Sergipe;2019/11/01;913
São Paulo;2019/11/01;23775
Tocantins;2019/11/01;487
Acre;2019/12/01;367
Alagoas;2019/12/01;1479
Amapá;2019/12/01;196
Amazonas;2019/12/01;1190
Bahia;2019/12/01;5961
Ceará;2019/12/01;3474
Distrito Federal;2019/12/01;1227
Espírito Santo;2019/12/01;2124
Goiás;2019/12/01;2794
Maranhão;2019/12/01;1777
Mato Grosso;2019/12/01;1258
Mato Grosso do Sul;2019/12/01;1278
Minas Gerais;2019/12/01;10053
Paraná;2019/12/01;5789
Paraíba;2019/12/01;2176
Pará;2019/12/01;2332
Pernambuco;2019/12/01;5274
Piauí;2019/12/01;1095
Rio Grande do Norte;2019/12/01;1423
Rio Grande do Sul;2019/12/01;7058
Rio de Janeiro;2019/12/01;12279
Rondônia;2019/12/01;687
Roraima;2019/12/01;187
Santa Catarina;2019/12/01;3165
Sergipe;2019/12/01;1036
São Paulo;2019/12/01;22894
Tocantins;2019/12/01;546
Acre;2020/01/01;377
Alagoas;2020/01/01;1611
Amapá;2020/01/01;283
Amazonas;2020/01/01;1360
Bahia;2020/01/01;7416
Ceará;2020/01/01;3718
Distrito Federal;2020/01/01;1251
Espírito Santo;2020/01/01;2182
Goiás;2020/01/01;3146
Maranhão;2020/01/01;1978
Mato Grosso;2020/01/01;1329
Mato Grosso do Sul;2020/01/01;1351
Minas Gerais;2020/01/01;11536
Paraná;2020/01/01;5928
Paraíba;2020/01/01;2351
Pará;2020/01/01;2443
Pernambuco;2020/01/01;5418
Piauí;2020/01/01;1173
Rio Grande do Norte;2020/01/01;1520
Rio Grande do Sul;2020/01/01;7483
Rio de Janeiro;2020/01/01;12372
Rondônia;2020/01/01;464
Roraima;2020/01/01;224
Santa Catarina;2020/01/01;3798
Sergipe;2020/01/01;1087
São Paulo;2020/01/01;28548
Tocantins;2020/01/01;571
Acre;2020/02/01;334
Alagoas;2020/02/01;1422
Amapá;2020/02/01;219
Amazonas;2020/02/01;1194
Bahia;2020/02/01;5786
Ceará;2020/02/01;3386
Distrito Federal;2020/02/01;1112
Espírito Santo;2020/02/01;1859
Goiás;2020/02/01;2676
Maranhão;2020/02/01;1796
Mato Grosso;2020/02/01;1178
Mato Grosso do Sul;2020/02/01;1261
Minas Gerais;2020/02/01;9630
Paraná;2020/02/01;5312
Paraíba;2020/02/01;2000
Pará;2020/02/01;2099
Pernambuco;2020/02/01;4648
Piauí;2020/02/01;1029
Rio Grande do Norte;2020/02/01;1344
Rio Grande do Sul;2020/02/01;6356
Rio de Janeiro;2020/02/01;11252
Rondônia;2020/02/01;610
Roraima;2020/02/01;171
Santa Catarina;2020/02/01;3027
Sergipe;2020/02/01;930
São Paulo;2020/02/01;22045
Tocantins;2020/02/01;465
Acre;2020/03/01;339
Alagoas;2020/03/01;1565
Amapá;2020/03/01;204
Amazonas;2020/03/01;1260
Bahia;2020/03/01;6457
Ceará;2020/03/01;3796
Distrito Federal;2020/03/01;1302
Espírito Santo;2020/03/01;2130
Goiás;2020/03/01;2972
Maranhão;2020/03/01;2093
Mato Grosso;2020/03/01;1399
Mato Grosso do Sul;2020/03/01;1485
Minas Gerais;2020/03/01;11138
Paraná;2020/03/01;6039
Paraíba;2020/03/01;2279
Pará;2020/03/01;2567
Pernambuco;2020/03/01;5578
Piauí;2020/03/01;951
Rio Grande do Norte;2020/03/01;1489
Rio Grande do Sul;2020/03/01;6676
Rio de Janeiro;2020/03/01;12661
Rondônia;2020/03/01;740
Roraima;2020/03/01;211
Santa Catarina;2020/03/01;3041
Sergipe;2020/03/01;1021
São Paulo;2020/03/01;26848
Tocantins;2020/03/01;527
